Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ÇªÇÃëº,ïœçXïÒçêèë,ó’éûïÒçêèë,élîºä˙ïÒçêèë,óLâøèÿåîïÒçêèë
2023/12/21,2224.44639490712,2241.51375855091,2211.64587217428,2222.07592773437,925600,0,0,,,,,
2023/12/22,2237.72092948464,2257.15875959245,2231.55771506021,2245.78051757812,578800,0,0,,,,,
2023/12/25,2268.53724301148,2285.13051438147,2260.95174752805,2266.64086914062,439100,0,0,,,,,
2023/12/26,2272.80379399722,2287.97478302682,2258.10689837479,2274.22607421875,670600,0,0,,,,,
2023/12/27,2274.70027830302,2284.65624033811,2252.41788708163,2276.12255859375,968400,0,0,,,,,
2023/12/28,2269.25634155403,2301.13480755814,2259.44758278354,2295.73999023437,675100,80,0,,,,,
2023/12/29,2296.23054488877,2317.31937731726,2289.85485136387,2314.8671875,708900,0,0,,,,,
2024/01/04,2304.07746867256,2333.99418335733,2281.51732317258,2325.65673828125,1316400,0,0,,,,,
2024/01/05,2325.16634477194,2330.56116227721,2298.19225724558,2311.43408203125,1095400,0,0,,,,,
2024/01/09,2334.97505852587,2337.91768619887,2301.13484028637,2328.59936523437,990400,0,0,,,,,
2024/01/10,2347.23595763843,2372.73873026635,2338.89851274085,2366.36303710937,1071100,0,0,,,,,
2024/01/11,2392.84687350868,2438.45760505947,2386.47117985105,2424.72534179687,1350600,0,0,,,,,
2024/01/12,2426.19657376165,2450.71847161653,2396.2798583787,2426.68701171875,1144200,0,0,,,,,
2024/01/15,2424.72521714501,2439.92879354701,2415.40689612443,2435.0244140625,168000,0,0,,,,,
2024/01/16,2408.5407358262,2414.91642907925,2374.70051779077,2387.45190429687,766100,0,0,,,,,
2024/01/17,2389.41377441905,2431.1010016,2389.41377441905,2400.69384765625,923800,0,0,,,,,
2024/01/18,2427.66794470801,2515.94677906103,2425.21575486487,2510.0615234375,1649800,0,0,,,,,
2024/01/19,2525.26492985905,2526.73624366554,2022.56604597761,2177.54443359375,22100700,0,0,,,,,
2024/01/22,2324.67578436007,2348.21680496118,2258.46666391943,2309.96264648437,9929000,0,0,,,,,
2024/01/23,2309.96281792908,2343.3125995892,2265.33296306038,2279.5556640625,3642200,0,0,,,,,
2024/01/24,2265.82343343012,2315.35766866312,2249.14854236159,2306.52978515625,1818700,0,0,,,,,
2024/01/25,2293.77834777448,2342.33170600191,2288.38353019365,2341.35083007812,1663600,0,0,,,,,
2024/01/26,2324.67589157549,2400.20333615411,2320.75238796102,2370.28662109375,2184900,0,0,,,,,
2024/01/29,2393.33732671158,2397.26083052586,2350.17878475449,2374.70068359375,2050200,0,0,,,,,
2024/01/30,2366.85346790501,2414.91638540495,2338.89850568566,2398.73193359375,2080300,0,0,,,,,
2024/01/31,2379.11461199461,2422.76359168282,2372.24848035826,2418.84008789062,2032300,0,0,,,,,
2024/02/01,2392.35635628228,2470.33599151166,2390.39460445261,2420.8017578125,1800400,0,0,,,,,
2024/02/02,2391.37536009876,2429.62951885341,2384.01879110748,2419.33032226562,1032000,0,0,,,,,
2024/02/05,2468.37422315822,2529.67896742502,2454.15152248833,2482.59692382812,1256900,0,0,,,,,
2024/02/06,2451.20897740784,2489.46313912009,2440.90978002378,2474.75,727200,0,0,,,,,
2024/02/07,2489.46312960772,2509.57108632835,2478.67349429421,2507.11889648437,698400,0,0,,,,,
2024/02/08,2520.85107650667,2526.7363319382,2482.10647824908,2512.02319335937,736500,0,0,,,,,
2024/02/09,2535.5642543893,2555.1817727985,2512.02323229825,2518.39892578125,831500,0,0,,,,,
2024/02/13,2527.7171935802,2572.34704701749,2508.09967558578,2567.93310546875,1085800,0,0,,,,,
2024/02/14,2567.44262347533,2623.84298674175,2520.85101903786,2582.15576171875,2768100,0,0,,,,,
2024/02/15,2631.19964577495,2707.21752929687,2530.65986434273,2707.21752929687,3056100,0,0,,,,,
2024/02/16,2756.2613046228,2871.51422394422,2743.0194798497,2783.72583007812,2448500,0,0,,,,,
2024/02/19,2791.57290929937,2848.95415146171,2776.85977028339,2817.07568359375,1209900,0,0,,,,,
2024/02/20,2815.11376480213,2852.38704809916,2815.11376480213,2835.71215820312,1028300,0,0,,,,,
2024/02/21,2815.1138468509,2879.36121861701,2811.1903432316,2830.80786132812,2653700,0,0,,,,,
2024/02/22,2824.92255901287,2866.60978427608,2816.09467601596,2856.80102539062,3229900,0,0,,,,,
2024/02/26,2824.92253381939,2871.51413810981,2783.72574686786,2791.57275390625,1436700,0,0,,,,,
2024/02/27,2779.80238788702,2791.08246109121,2701.33231342302,2710.65063476562,1242800,0,0,,,,,
2024/02/28,2696.4278722747,2715.06451453488,2618.93867550872,2636.10400390625,1549700,0,0,,,,,
2024/02/29,2636.59455719557,2676.81047120041,2600.30214699607,2658.173828125,1422600,0,0,,,,,
2024/03/01,2648.36487329306,2673.867646147,2613.05334164916,2626.29516601562,999400,0,0,,,,,
2024/03/04,2626.29530018174,2654.25026416126,2577.74194169098,2583.62719726562,857200,0,0,,,,,
2024/03/05,2569.40448086503,2653.75981026163,2558.12440774804,2639.537109375,1222800,0,0,,,,,
2024/03/06,2618.93870460594,2685.63826712024,2601.28293805803,2677.79125976562,952800,0,0,,,,,
2024/03/07,2726.83490347111,2734.68191038757,2614.03417904695,2616.97680664062,1235800,0,0,,,,,
2024/03/08,2582.15580978715,2582.15580978715,2530.16938702601,2553.21997070312,1085300,0,0,,,,,
2024/03/11,2523.30317811708,2548.80595076277,2494.36733992293,2540.46850585937,751500,0,0,,,,,
2024/03/12,2530.65978968441,2536.54504500926,2487.50125063553,2532.13110351562,536000,0,0,,,,,
2024/03/13,2550.27743686498,2562.53838608068,2493.38663250415,2510.0615234375,540400,0,0,,,,,
2024/03/14,2520.85102869861,2546.35380175159,2505.15701451215,2540.958984375,439600,0,0,,,,,
2024/03/15,2566.95213943946,2619.91943616461,2556.65294285401,2608.14892578125,1422700,0,0,,,,,
2024/03/18,2623.84312811795,2663.56860351562,2602.26385753156,2663.56860351562,643300,0,0,,,,,
2024/03/19,2679.26259273605,2767.05098814146,2667.9825195834,2754.7900390625,938600,0,0,,,,,
2024/03/21,2778.33113396119,2790.10164538486,2755.28054908984,2785.197265625,616800,0,0,,,,,
2024/03/22,2795.98689569321,2826.88448812062,2761.16579946549,2802.85302734375,761700,0,0,,,,,
2024/03/25,2794.0250752785,2794.0250752785,2756.7517900896,2757.73266601562,509800,0,0,,,,,
2024/03/26,2791.08239862105,2817.56604815989,2761.16568340125,2786.66845703125,683800,0,0,,,,,
2024/03/27,2792.55366458437,2829.82694848118,2777.84052620405,2815.60424804687,712000,0,0,,,,,
2024/03/28,2805.30509774543,2843.55925816923,2792.5537109375,2792.5537109375,542900,0,0,2792.5537109375,,,,2792.5537109375
2024/03/29,2805.30518266815,2814.62350407911,2765.57970717931,2781.76416015625,375700,0,0,,,,,
2024/04/01,2773.91704927884,2778.82142878605,2672.88683143028,2709.66967773437,818400,0,0,,,2709.66967773437,,
2024/04/02,2722.91151158192,2734.68202243891,2661.60676753514,2674.35815429687,565300,0,0,,,,,
2024/04/03,2648.36493316082,2722.91150164979,2630.21872898916,2712.6123046875,686800,0,0,,,,,
2024/04/04,2744.00039978189,2776.36930530211,2722.42112943508,2769.50317382812,601000,0,0,,,,,
2024/04/05,2722.91161239308,2752.337890625,2699.86102777808,2752.337890625,505700,0,0,,,,,
